"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Vijayvargia K.; Hosseini Z.S.; Dadfarnia M.; Somerday B.P.; Krogstad J.A.; Kubota M.; Tsuchiyama T.; Sofronis P.; Aravas N.","Vijayvargia, K. (58538222600); Hosseini, Z.S. (57214287432); Dadfarnia, M. (6602919061); Somerday, B.P. (6603379415); Krogstad, J.A. (37110988700); Kubota, M. (7401665066); Tsuchiyama, T. (7005302655); Sofronis, P. (7003666624); Aravas, N. (7003645989)","58538222600; 57214287432; 6602919061; 6603379415; 37110988700; 7401665066; 7005302655; 7003666624; 7003645989","On hydrogen-induced shear localization in austenitic steels triggered by dislocation interactions with short-range order","2026","International Journal of Solids and Structures","324","","113662","","","","1","10.1016/j.ijsolstr.2025.113662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016861568&doi=10.1016%2fj.ijsolstr.2025.113662&partnerID=40&md5=af002d10985b8c26c191c86f61cf287d","Article","Final","","Scopus","2-s2.0-105016861568"
"Komoda R.; Kubota M.; Furtado J.","Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Furtado, Jader (24467850700)","55791262500; 7401665066; 24467850700","Effect of addition of oxygen and water vapor on fretting fatigue properties of an austenitic stainless steel in hydrogen","2015","International Journal of Hydrogen Energy","40","47","","16868","16877","9","15","10.1016/j.ijhydene.2014.12.129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921628363&doi=10.1016%2fj.ijhydene.2014.12.129&partnerID=40&md5=1f188cf040bb698beb3cf1780c29b267","Conference paper","Final","","Scopus","2-s2.0-84921628363"
"Vijayvargia K.; Nguyen T.; Dadfarnia M.; Staykov A.; Sofronis P.; Kubota M.; Martin M.L.; Pugh J.A.","Vijayvargia, K. (58538222600); Nguyen, T. (57755516200); Dadfarnia, M. (6602919061); Staykov, A. (16053634300); Sofronis, P. (7003666624); Kubota, M. (7401665066); Martin, M.L. (42061823000); Pugh, J.A. (57218867507)","58538222600; 57755516200; 6602919061; 16053634300; 7003666624; 7401665066; 42061823000; 57218867507","On the chemomechanics of bubble growth in hydrogen attack of plain carbon steels","2025","Corrosion Science","253","","112999","","","","2","10.1016/j.corsci.2025.112999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004409097&doi=10.1016%2fj.corsci.2025.112999&partnerID=40&md5=3d7bb4c3c213de3d4919727a3472cbf4","Article","Final","","Scopus","2-s2.0-105004409097"
"Kubota M.; Kawakami K.","Kubota, Masanobu (7401665066); Kawakami, Kota (56120175300)","7401665066; 56120175300","High-cycle fatigue properties of carbon steel and work-hardened Oxygen free copper in high pressure hydrogen","2014","Advanced Materials Research","891-892","","","575","580","5","1","10.4028/www.scientific.net/AMR.891-892.575","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898860634&doi=10.4028%2fwww.scientific.net%2fAMR.891-892.575&partnerID=40&md5=9f3742ea7b0bd9542f6b540f02ea1f5a","Conference paper","Final","","Scopus","2-s2.0-84898860634"
"Kondo Y.; Kubota M.; Mizobe K.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Mizobe, Koshiro (55649570543)","35327168500; 7401665066; 55649570543","Study on crack opening displacement and hydrogen enhanced cruck propagation of low alloy steel","2010","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","76","765","","594","601","7","2","10.1299/kikaia.76.594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955214984&doi=10.1299%2fkikaia.76.594&partnerID=40&md5=d4b08d3d80dd618ba0d0b99cf9be7497","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-77955214984"
"Furtado J.; Komoda R.; Kubota M.","Furtado, Jader (24467850700); Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066)","24467850700; 55791262500; 7401665066","Fretting fatigue properties under the effect of hydrogen and the mechanisms that cause the reduction in fretting fatigue strength","2013","13th International Conference on Fracture 2013, ICF 2013","2","","","1299","1308","9","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898772071&partnerID=40&md5=f85cafba5e4430e26bb971ff96fc6f29","Conference paper","Final","","Scopus","2-s2.0-84898772071"
"Komoda R.; Yamada K.; Kubota M.; Ginet P.; Barbier F.; Furtado J.; Prost L.","Komoda, Ryosuke (55791262500); Yamada, Kazuki (57211272646); Kubota, Masanobu (7401665066); Ginet, Patrick (8516228200); Barbier, Francoise (57197562839); Furtado, Jader (24467850700); Prost, Laurent (57095148000)","55791262500; 57211272646; 7401665066; 8516228200; 57197562839; 24467850700; 57095148000","The inhibitory effect of carbon monoxide contained in hydrogen gas environment on hydrogen-accelerated fatigue crack growth and its loading frequency dependency","2019","International Journal of Hydrogen Energy","44","54","","29007","29016","9","59","10.1016/j.ijhydene.2019.09.146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073259921&doi=10.1016%2fj.ijhydene.2019.09.146&partnerID=40&md5=4ddbfcdefc955a8b034111ad2cccee91","Article","Final","","Scopus","2-s2.0-85073259921"
"Kubota M.; Takazaki D.; Komoda R.; Wada K.; Tsuchiyama T.; Dadfarnia M.; Somerday B.P.; Sofronis P.","Kubota, Masanobu (7401665066); Takazaki, Daiskuke (57192398616); Komoda, Ryosuke (55791262500); Wada, Kentrao (57467024400); Tsuchiyama, Toshihiro (7005302655); Dadfarnia, Mohsen (6602919061); Somerday, Brian P. (6603379415); Sofronis, Petros (7003666624)","7401665066; 57192398616; 55791262500; 57467024400; 7005302655; 6602919061; 6603379415; 7003666624","Effect of Hydrogen on Creep Properties","2022","Minerals, Metals and Materials Series","","","","1541","1548","7","3","10.1007/978-3-030-92381-5_146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125238990&doi=10.1007%2f978-3-030-92381-5_146&partnerID=40&md5=7ddd15092d3b6f92e7c7ae57aa4b93b5","Conference paper","Final","","Scopus","2-s2.0-85125238990"
"Tian L.; Kubota M.; Kirchheim R.; Volkert C.A.","Tian, Lin (55268316700); Kubota, Masanobu (7401665066); Kirchheim, Reiner (26643299600); Volkert, Cynthia A. (57189083389)","55268316700; 7401665066; 26643299600; 57189083389","Zig-Zag cracking as a possible characteristic feature of hydrogen embrittlement in a low alloy steel: Insights from in-situ TEM studies","2025","Nano Today","63","","102738","","","","1","10.1016/j.nantod.2025.102738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001936679&doi=10.1016%2fj.nantod.2025.102738&partnerID=40&md5=f71eefeecdae6dc3fc32e2fc6ceda9a4","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105001936679"
"Sudo T.; Kubota M.; Kondo Y.","Sudo, Tomoe (35079553500); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500)","35079553500; 7401665066; 35327168500","Investigation of critical crack size that causes retardation of fatigue crack propagation by single overload","2009","Zairyo/Journal of the Society of Materials Science, Japan","58","12","","1023","1029","6","2","10.2472/jsms.58.1023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950931390&doi=10.2472%2fjsms.58.1023&partnerID=40&md5=489d1041902432cda32e6ed4342c7f3b","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-77950931390"
"Komoda R.; Yamada K.; Kubota M.","Komoda, Ryosuke (55791262500); Yamada, Kazuki (57211272646); Kubota, Masanobu (7401665066)","55791262500; 57211272646; 7401665066","A comparison of inhibitory effects of carbon monoxide and oxygen on hydrogen-accelerated fatigue crack growth","2019","Proceedings of the International Offshore and Polar Engineering Conference","4","","","4169","4174","5","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079747753&partnerID=40&md5=b9af86d3d626cc416a3f175f5cb55af3","Conference paper","Final","","Scopus","2-s2.0-85079747753"
"Shishime K.; Kubota M.; Kondo Y.","Shishime, Keiko (23478738900); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500)","23478738900; 7401665066; 35327168500","Effect of absorbed hydrogen on the near threshold fatigue crack growth behavior of short crack","2008","Materials Science Forum","567-568","","","409","412","3","17","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549167970&partnerID=40&md5=aab15e27332381911d73b5755a755f6a","Conference paper","Final","","Scopus","2-s2.0-38549167970"
"Shang J.; Umezaki S.; Masuda T.; Yussalla V.I.; Okano H.; Naho I.; Staykov A.; Kubota M.","Shang, Juan (57206935039); Umezaki, Shunsuke (60029802800); Masuda, Tatsuhito (60030236600); Yussalla, Vanadia Irisca (57215608268); Okano, Hiroshi (57192432605); Naho, Inoue (60029946400); Staykov, Aleksandar (16053634300); Kubota, Masanobu (7401665066)","57206935039; 60029802800; 60030236600; 57215608268; 57192432605; 60029946400; 16053634300; 7401665066","Suppressing gaseous hydrogen embrittlement of Cr–Mo steel by introducing water vapor: Insights from experiments and calculations","2025","Corrosion Science","256","","113252","","","","1","10.1016/j.corsci.2025.113252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012576697&doi=10.1016%2fj.corsci.2025.113252&partnerID=40&md5=45aa43d422a2d6e782b77198df1052f4","Article","Final","","Scopus","2-s2.0-105012576697"
"Komoda R.; Kubota M.; Kondo Y.; Furtado J.","Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500); Furtado, Jader (24467850700)","55791262500; 7401665066; 35327168500; 24467850700","Fundamental mechanisms causing reduction in fretting fatigue strength by hydrogen (Effect of hydrogen on small crack initiation at the adhered spot)","2013","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","79","801","","536","545","9","4","10.1299/kikaia.79.536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880079171&doi=10.1299%2fkikaia.79.536&partnerID=40&md5=0bc29d9e8cb594693ab2741b7df93b68","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84880079171"
"Kondo Y.; Eda H.; Kubota M.","Kondo, Y. (35327168500); Eda, H. (57202158826); Kubota, M. (7401665066)","35327168500; 57202158826; 7401665066","Fatigue failure under varying loading within fatigue limit diagram","2008","Materials Science Forum","567-568","","","1","8","7","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549094159&partnerID=40&md5=1fe488cab7cc9e32b09973f246ac41d2","Conference paper","Final","","Scopus","2-s2.0-38549094159"
"Shang J.; Masuda T.; Umezaki S.; Yussalla V.I.; Okano H.; Naho I.; Kubota M.","Shang, Juan (57206935039); Masuda, Tatsuhito (60030236600); Umezaki, Shunsuke (60029802800); Yussalla, Vanadia Irisca (57215608268); Okano, Hiroshi (57192432605); Naho, Inoue (60029946400); Kubota, Masanobu (7401665066)","57206935039; 60030236600; 60029802800; 57215608268; 57192432605; 60029946400; 7401665066","The effect of pressure and strain rate on the water-mitigated gaseous hydrogen embrittlement of SCM435 steel","2026","Materials Letters","407","","140039","","","","1","10.1016/j.matlet.2025.140039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027165241&doi=10.1016%2fj.matlet.2025.140039&partnerID=40&md5=9e4420306addb196e690e0a32fec171f","Article","Final","","Scopus","2-s2.0-105027165241"
"Matsumoto T.; Kubota M.; Matsuoka S.; Ginet P.; Furtado J.; Barbier F.","Matsumoto, T. (57207433555); Kubota, M. (7401665066); Matsuoka, S. (7202476970); Ginet, P. (8516228200); Furtado, J. (24467850700); Barbier, F. (57197562839)","57207433555; 7401665066; 7202476970; 8516228200; 24467850700; 57197562839","Threshold stress intensity factor for hydrogen-assisted cracking of CR-MO steel used as stationary storage buffer of a hydrogen refueling station","2017","International Journal of Hydrogen Energy","42","11","","7422","7428","6","10","10.1016/j.ijhydene.2016.05.124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018758898&doi=10.1016%2fj.ijhydene.2016.05.124&partnerID=40&md5=cb7d7130166d8d35ac39ecd32dadec0e","Article","Final","","Scopus","2-s2.0-85018758898"
"Kondo Y.; Sakae C.; Kubota M.; Nagamatsu S.","Kondo, Y. (35327168500); Sakae, C. (6602682165); Kubota, M. (7401665066); Nagamatsu, S. (15923767000)","35327168500; 6602682165; 7401665066; 15923767000","Fatigue strength of small-notched specimens under variable amplitude loading within the fatigue limit diagram","2007","Fatigue and Fracture of Engineering Materials and Structures","30","4","","301","310","9","2","10.1111/j.1460-2695.2007.01106.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947526747&doi=10.1111%2fj.1460-2695.2007.01106.x&partnerID=40&md5=871b21cb1897f9077e376b3889ccfa62","Article","Final","","Scopus","2-s2.0-33947526747"
"Komoda R.; Kubota M.; Kondo Y.; Furtado J.","Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (56072489200); Furtado, Jader (24467850700)","55791262500; 7401665066; 56072489200; 24467850700","Effect of oxygen addition on fretting fatigue strength in hydrogen of JIS SUS304 stainless steel","2014","Tribology International","76","","","92","99","7","7","10.1016/j.triboint.2014.02.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900803150&doi=10.1016%2fj.triboint.2014.02.025&partnerID=40&md5=9b6aa8e09910c984a01bd00447e3e704","Article","Final","","Scopus","2-s2.0-84900803150"
