"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kondo Y.; Sakae C.; Kubota M.; Kashiwagi M.","Kondo, Y. (35327168500); Sakae, C. (6602682165); Kubota, M. (7401665066); Kashiwagi, M. (35860187300)","35327168500; 6602682165; 7401665066; 35860187300","Interpretation of material hardness, stress ratio, and crack effects on the ΔKth, of small cracks based on crack closure measurement","2005","ASTM Special Technical Publication","","1461","","415","429","14","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33244489364&partnerID=40&md5=52d6c9cdcb4f4ec5a4aea57d44aedc17","Conference paper","Final","","Scopus","2-s2.0-33244489364"
"Hosseini Z.S.; Vijayvargia K.; Dadfarnia M.; Somerday B.P.; Krogstad J.A.; Kubota M.; Tsuchiyama T.; Sofronis P.","Hosseini, Z.S. (57214287432); Vijayvargia, K. (58538222600); Dadfarnia, M. (6602919061); Somerday, B.P. (6603379415); Krogstad, J.A. (37110988700); Kubota, M. (7401665066); Tsuchiyama, T. (7005302655); Sofronis, P. (7003666624)","57214287432; 58538222600; 6602919061; 6603379415; 37110988700; 7401665066; 7005302655; 7003666624","Micromechanical modeling of hydrogen, dislocation, and short-range ordering interactions for austenitic steels","2025","Modelling and Simulation in Materials Science and Engineering","33","8","085004","","","","0","10.1088/1361-651X/ae16c6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105034050716&doi=10.1088%2f1361-651X%2fae16c6&partnerID=40&md5=712f8f3cc6a342c5abb8380053bbf2e3","Article","Final","","Scopus","2-s2.0-105034050716"
"Kubota M.; Noyama N.; Fueta M.; Sakae C.; Kondo Y.","Kubota, Masanobu (7401665066); Noyama, Naoki (12646573100); Fueta, Munehiro (12646350800); Sakae, Chu (6602682165); Kondo, Yoshiyuki (35327168500)","7401665066; 12646573100; 12646350800; 6602682165; 35327168500","Effect of hydrogen gas environment on fretting fatigue","2005","Zairyo/Journal of the Society of Materials Science, Japan","54","12","","1231","1236","5","10","10.2472/jsms.54.1231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33244462180&doi=10.2472%2fjsms.54.1231&partnerID=40&md5=3202f2f19aa2199d8edac8c441aad2d1","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-33244462180"
"Matsumoto T.; Itoga H.; Hirabayashi S.; Kubota M.; Matsuoka S.","Matsumoto, Takuya (57191367160); Itoga, Hisatake (6701729762); Hirabayashi, Sana (55822514500); Kubota, Masanobu (7401665066); Matsuoka, Saburo (7202476970)","57191367160; 6701729762; 55822514500; 7401665066; 7202476970","Effect of displacement velocity on elastic plastic fracture toughness of SM490B carbon steel plate in 0.7 MPa hydrogen gas","2013","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","79","804","","1210","1225","15","18","10.1299/kikaia.79.1210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885200996&doi=10.1299%2fkikaia.79.1210&partnerID=40&md5=b11b3bc4936911864b75c126e036142f","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84885200996"
"Kondo Y.; Kubota M.; Mizobe K.","Kondo, Yoshiyuki (35327168500); Kubota, Masanobu (7401665066); Mizobe, Koshiro (55649570543)","35327168500; 7401665066; 55649570543","Effects of hydrogen concentration, specimen thickness, loading frequency and temperature on the hydrogen enhanced crack propagation of low alloy steel","2010","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","76","769","","1204","1213","9","1","10.1299/kikaia.76.1204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649896332&doi=10.1299%2fkikaia.76.1204&partnerID=40&md5=862a2d1c5beb9c22d09ef8c616d6da59","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-78649896332"
"Kondo Y.; Eda H.; Kubota M.","Kondo, Yoshiyuki (35327168500); Eda, Hikaru (57202158826); Kubota, Masanobu (7401665066)","35327168500; 57202158826; 7401665066","Effect of notch shape and absorbed hydrogen on the fatigue fracture below fatigue limit","2008","17th European Conference on Fracture 2008: Multilevel Approach to Fracture of Materials, Components and Structures","2","","","1281","1288","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866117437&partnerID=40&md5=0be52dd58c8b13f99688192999257199","Conference paper","Final","","Scopus","2-s2.0-84866117437"
"Seo A.; Kubota M.; Kondo Y.","Seo, Akimitsu (57195584121); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (56072489200)","57195584121; 7401665066; 56072489200","Effects of notch root radius and stress ratio on the fatigue crack propagation threshold for the short crack at the notch root","2012","19th European Conference on Fracture: Fracture Mechanics for Durability, Reliability and Safety, ECF 2012","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127276725&partnerID=40&md5=c4ea9d72365a90e7267b6b32f71b83d7","Conference paper","Final","","Scopus","2-s2.0-85127276725"
"Hosseini Z.S.; Dadfarnia M.; Kubota M.; Nagao A.; Somerday B.P.; Sofronis P.; Ritchie R.O.","Hosseini, Zahra S. (57214287432); Dadfarnia, Mohsen (6602919061); Kubota, Masanobu (7401665066); Nagao, Akihide (7005739765); Somerday, Brian P. (6603379415); Sofronis, Petros (7003666624); Ritchie, Robert O. (55123574900)","57214287432; 6602919061; 7401665066; 7005739765; 6603379415; 7003666624; 55123574900","Mechanistic model for hydrogen accelerated fatigue crack growth in a low carbon steel","2025","International Journal of Hydrogen Energy","136","","","722","730","8","1","10.1016/j.ijhydene.2024.05.351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193915380&doi=10.1016%2fj.ijhydene.2024.05.351&partnerID=40&md5=fac420017e7bf72e55a1fb5d8fe3bef3","Article","Final","","Scopus","2-s2.0-85193915380"
"Kubota M.; Kuwada K.; Tanaka Y.; Kondo Y.","Kubota, Masanobu (7401665066); Kuwada, Kyohei (36494946200); Tanaka, Yasuhiro (59828836100); Kondo, Yoshiyuki (35327168500)","7401665066; 36494946200; 59828836100; 35327168500","Mechanism of reduction of fretting fatigue limit caused by hydrogen gas in SUS304 austenitic stainless steel","2011","Tribology International","44","11","","1495","1502","7","13","10.1016/j.triboint.2010.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054911640&doi=10.1016%2fj.triboint.2010.11.004&partnerID=40&md5=7fa737f67996a4063570c79c1c7f97d9","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-80054911640"
"Kubota M.; Hirakawa K.","Kubota, Masanobu (7401665066); Hirakawa, Kenji (7202125453)","7401665066; 7202125453","The effect of rubber contact on the fretting fatigue strength of railway wheel tire","2009","Tribology International","42","9","","1389","1398","9","14","10.1016/j.triboint.2009.04.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649792040&doi=10.1016%2fj.triboint.2009.04.011&partnerID=40&md5=f68945b9da9080e9f61b945a2a9a3b42","Article","Final","","Scopus","2-s2.0-67649792040"
"Yanagihara K.; Ohyanagi S.; Kubota M.; Sakae C.; Kondo Y.","Yanagihara, Kazutoshi (8550625500); Ohyanagi, Satoshi (57199352985); Kubota, Masanobu (7401665066); Sakae, Chu (6602682165); Kondo, Yoshiyuki (35327168500)","8550625500; 57199352985; 7401665066; 6602682165; 35327168500","Effects of crack size, stress ratio and hydrogen on the near threshold fatigue crack propagation of high strength steel","2005","Zairyo/Journal of the Society of Materials Science, Japan","54","12","","1237","1243","6","11","10.2472/jsms.54.1237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33244471552&doi=10.2472%2fjsms.54.1237&partnerID=40&md5=801bf32a45b186eddb4361f0ec77bc0c","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-33244471552"
"Mizobe K.; Kubota M.; Kondo Y.","Mizobe, Koshiro (55649570543); Kubota, Masanobu (7401665066); Kondo, Yoshiyuki (35327168500)","55649570543; 7401665066; 35327168500","Behavior of short fatigue crack at notch root","2011","Key Engineering Materials","465","","","515","518","3","1","10.4028/www.scientific.net/KEM.465.515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952836251&doi=10.4028%2fwww.scientific.net%2fKEM.465.515&partnerID=40&md5=5e2fd3c7381e46ca7f7d0490d832415c","Conference paper","Final","","Scopus","2-s2.0-79952836251"
"Kondo Y.; Sakae C.; Kubota M.; Kashiwagi M.","Kondo, Y. (35327168500); Sakae, C. (6602682165); Kubota, M. (7401665066); Kashiwagi, M. (35860187300)","35327168500; 6602682165; 7401665066; 35860187300","Interpretation of material hardness, stress ratio, and crack size effects on the ΔKth of small cracks based on crack closure measurement","2005","Journal of ASTM International","2","4","","69","83","14","2","10.1520/JAI11990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30644465056&doi=10.1520%2fJAI11990&partnerID=40&md5=c61c0834e4d86f428f0e40cbbba75c5b","Article","Final","","Scopus","2-s2.0-30644465056"
"Komoda R.; Kubota M.; Staykov A.; Zhang N.; Wada K.","Komoda, Ryosuke (55791262500); Kubota, Masanobu (7401665066); Staykov, Aleksandar (16053634300); Zhang, Nan (59986032500); Wada, Kentaro (57192978784)","55791262500; 7401665066; 16053634300; 59986032500; 57192978784","Effect of water temperature in the deep sea on the mitigation of hydrogen embrittlement by O2 impurity","2025","Engineering Failure Analysis","180","","109885","","","","2","10.1016/j.engfailanal.2025.109885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010322396&doi=10.1016%2fj.engfailanal.2025.109885&partnerID=40&md5=830da5b74c0c51fa5e060364429a3a82","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105010322396"
"Kondo Y.; Sakae C.; Kubota M.; Kitahara H.; Yanagihara K.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Kitahara, Hiroki (8550625400); Yanagihara, Kazutoshi (8550625500)","35327168500; 6602682165; 7401665066; 8550625400; 8550625500","Fretting fatigue under variable amplitude loading below fretting fatigue limit","2005","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","71","5","","763","768","5","3","10.1299/kikaia.71.763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23144440719&doi=10.1299%2fkikaia.71.763&partnerID=40&md5=7db34ba0041addb62c5ed33a417f921c","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-23144440719"
"Kubota M.; Tanaka Y.; Kondo Y.","Kubota, M. (7401665066); Tanaka, Y. (59828836100); Kondo, Y. (35327168500)","7401665066; 59828836100; 35327168500","Fretting fatigue strength of SCM435H steel and SUH660 heat-resistant steel in hydrogen gas environment","2008","Tribo Test","14","3","","177","191","14","8","10.1002/tt.58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55049126485&doi=10.1002%2ftt.58&partnerID=40&md5=61986be8078b44f166912bf42116a6a6","Article","Final","","Scopus","2-s2.0-55049126485"
"Sakae C.; Imamura Y.; Morita T.; Kubota M.","Sakae, Chu (6602682165); Imamura, Yusuke (16309603400); Morita, Takehiro (54885166700); Kubota, Masanobu (7401665066)","6602682165; 16309603400; 54885166700; 7401665066","Continual observation of crack growth behavior by ultrasonic inspection in two-roller rolling fatigue test","2007","Nihon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","73","1","","102","108","6","0","10.1299/kikaia.73.102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248582934&doi=10.1299%2fkikaia.73.102&partnerID=40&md5=bd26c32582b30ba517a1db6e5f809b8c","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-34248582934"
"Takazaki D.; Kubota M.; Komoda R.; Oku Y.; Makino T.; Sugino M.","Takazaki, Daisuke (57192398616); Kubota, Masanobu (7401665066); Komoda, Ryosuke (55791262500); Oku, Yosuke (57192389559); Makino, Taizo (7402183137); Sugino, Masaaki (7005414605)","57192398616; 7401665066; 55791262500; 57192389559; 7402183137; 7005414605","Effect of contact pressure on fretting fatigue failure of oil-well pipe material","2017","International Journal of Fatigue","101","","","67","74","7","13","10.1016/j.ijfatigue.2017.03.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016567472&doi=10.1016%2fj.ijfatigue.2017.03.024&partnerID=40&md5=b3c95d4c863d637b6e3d7c703cb8dc13","Article","Final","","Scopus","2-s2.0-85016567472"
"Kubota M.; Ochi Y.; Ishii A.; Shibata R.","Kubota, Masanobu (7401665066); Ochi, Yasuo (7102265064); Ishii, Akira (57216090838); Shibata, Ryoichi (7102556306)","7401665066; 7102265064; 57216090838; 7102556306","Crack propagation properties on hip-treated cast aluminum alloys","1998","Materials Science Research International","4","3","","193","199","6","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038808172&partnerID=40&md5=6c0c260e5c0efac83588325e120db859","Article","Final","","Scopus","2-s2.0-0038808172"
"Hirakawa K.; Toyama K.; Kubota M.","Hirakawa, K. (7202125453); Toyama, K. (7201530400); Kubota, M. (7401665066)","7202125453; 7201530400; 7401665066","The analysis and prevention of failure in railway axles","1998","International Journal of Fatigue","20","2","","135","144","9","159","10.1016/S0142-1123(97)00096-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031997453&doi=10.1016%2fS0142-1123%2897%2900096-0&partnerID=40&md5=07a5ff72872ec306e7d06b1754c9b281","Article","Final","","Scopus","2-s2.0-0031997453"
"Matsunaga H.; Murakami Y.; Kubota M.; Lee J.-H.","Matsunaga, Hisao (7202181027); Murakami, Yukitaka (7404145794); Kubota, Masanobu (7401665066); Lee, Joon-Hyun (55983767900)","7202181027; 7404145794; 7401665066; 55983767900","Fatigue Strength of Ti-6Al-4V Alloys Containing Small Artificial Defects","2003","Materials Science Research International","9","4","","263","269","6","19","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542334428&partnerID=40&md5=c16b437182f13d00974499bb13657194","Article","Final","","Scopus","2-s2.0-1542334428"
"Kondo Y.; Sakae C.; Kubota M.; Nagasue T.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Nagasue, Tomohiro (57213630798)","35327168500; 6602682165; 7401665066; 57213630798","The meaning of the local stress in fretting fatigue","2003","Nippon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","69","2","","382","389","7","2","10.1299/kikaia.69.382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038035617&doi=10.1299%2fkikaia.69.382&partnerID=40&md5=e61c39c02e84d3735b4d4880462e2ed4","Article","Final","","Scopus","2-s2.0-0038035617"
"Kondo Y.; Sakae C.; Kubota M.; Nagasue T.; Sato S.","Kondo, Y. (35327168500); Sakae, C. (6602682165); Kubota, M. (7401665066); Nagasue, T. (57213630798); Sato, S. (55725578200)","35327168500; 6602682165; 7401665066; 57213630798; 55725578200","Fretting fatigue limit as a short crack problem at the edge of contact","2004","Fatigue and Fracture of Engineering Materials and Structures","27","5","","361","368","7","8","10.1111/j.1460-2695.2004.00750.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1942532824&doi=10.1111%2fj.1460-2695.2004.00750.x&partnerID=40&md5=b8d568b03f6694a80c8902c9f847ef20","Article","Final","","Scopus","2-s2.0-1942532824"
"Kubota M.; Ochi Y.; Ishii A.; Shibata R.","Kubota, Masanobu (7401665066); Ochi, Yasuo (7102265064); Ishii, Akira (57216090838); Shibata, Ryoichi (7102556306)","7401665066; 7102265064; 57216090838; 7102556306","Improvement of High Cycle Fatigue Properties by HIP Treatment for Cast Alminum Alloys","1995","Transactions of the Japan Society of Mechanical Engineers Series A","61","591","","2342","2348","6","11","10.1299/kikaia.61.2342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029407339&doi=10.1299%2fkikaia.61.2342&partnerID=40&md5=5b2926cfa15c5042676374c3bd6bd941","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0029407339"
"Kondo Y.; Sakae C.; Kubota M.; Kitahara H.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Kitahara, Hiroki (8550625400)","35327168500; 6602682165; 7401665066; 8550625400","Fatigue under mixed mode loading of vibratory stress and start-stop cycling","2004","Zairyo/Journal of the Society of Materials Science, Japan","53","10","","1130","1135","5","1","10.2472/jsms.53.1130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10844248523&doi=10.2472%2fjsms.53.1130&partnerID=40&md5=3f314619b4b1f5f57284e4151df0a566","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-10844248523"
"Kashiwagi M.; Kudou T.; Kubota M.; Sakae C.; Kondo Y.","Kashiwagi, Masahiro (35860187300); Kudou, Takao (7003936038); Kubota, Masanobu (7401665066); Sakae, Chu (6602682165); Kondo, Yoshiyuki (35327168500)","35860187300; 7003936038; 7401665066; 6602682165; 35327168500","Effect of Crack Closure on the Fatigue Limit of Material Containing Small Defect","2003","Zairyo/Journal of the Society of Materials Science, Japan","52","11","","1345","1350","5","7","10.2472/jsms.52.1345","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642454712&doi=10.2472%2fjsms.52.1345&partnerID=40&md5=993807a0fab3b90f323cb7196d4d1794","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-1642454712"
"Kubota M.; Tsutsui K.; Makino T.; Hirakawa K.","Kubota, Masanobu (7401665066); Tsutsui, Kentaro (7202009921); Makino, Taizo (7402183137); Hirakawa, Kenji (7202125453)","7401665066; 7202009921; 7402183137; 7202125453","Effect of the contact conditions and surface treatments on the fretting fatigue strength of medium carbon steel","2000","ASTM Special Technical Publication","","1367","","477","490","13","8","10.1520/stp14749s","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033893247&doi=10.1520%2fstp14749s&partnerID=40&md5=8868aae5b9e6fd2a348358417e063ece","Conference paper","Final","","Scopus","2-s2.0-0033893247"
"Kondo Y.; Sakae C.; Kubota M.; Kudou T.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Kudou, Takao (7003936038)","35327168500; 6602682165; 7401665066; 7003936038","The effect of mean stress and hardness on the fatigue limit of material with small defect","2002","Nippon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","68","8","","1185","1191","6","6","10.1299/kikaia.68.1185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036701820&doi=10.1299%2fkikaia.68.1185&partnerID=40&md5=b5f49c796716a19d7258d4d71bacf567","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0036701820"
"Kubota M.; Niho S.; Sakae C.; Kondo Y.","Kubota, Masanobu (7401665066); Niho, Sotaro (7004033558); Sakae, Chu (6602682165); Kondo, Yoshiyuki (35327168500)","7401665066; 7004033558; 6602682165; 35327168500","Effect of understress on fretting fatigue crack initiation of press-fitted axle","2003","JSME International Journal, Series A: Solid Mechanics and Material Engineering","46","3","","297","302","5","20","10.1299/jsmea.46.297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141795415&doi=10.1299%2fjsmea.46.297&partnerID=40&md5=639665ca5df927719b2b34277fc8f6f2","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0141795415"
"Kubota M.; Odanaka H.; Sakae C.; Ohkomori Y.; Kondo Y.","Kubota, Masanobu (7401665066); Odanaka, Hidenori (6507961937); Sakae, Chu (6602682165); Ohkomori, Yoshihiro (6602247502); Kondo, Yoshiyuki (35327168500)","7401665066; 6507961937; 6602682165; 6602247502; 35327168500","The analysis of fretting fatigue failure in backup roll and its prevention","2002","ASTM Special Technical Publication","","1425","","434","445","11","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038176506&partnerID=40&md5=7e1ee8171c813dc27bf733fc9ba28c62","Conference paper","Final","","Scopus","2-s2.0-0038176506"
"Hirakawa K.; Kubota M.","Hirakawa, K. (7202125453); Kubota, M. (7401665066)","7202125453; 7401665066","On the fatigue design method for high-speed railway axles","2001","Proceedings of the Institution of Mechanical Engineers, Part F: Journal of Rail and Rapid Transit","215","2","","73","82","9","40","10.1243/0954409011531413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035735448&doi=10.1243%2f0954409011531413&partnerID=40&md5=fecbc704111a15efe108ed8b41493646","Conference paper","Final","","Scopus","2-s2.0-0035735448"
"Kubota M.; Ochi Y.; Ishii A.; Hattori T.","Kubota, M. (7401665066); Ochi, Y. (7102265064); Ishii, A. (57216090838); Hattori, T. (7403361557)","7401665066; 7102265064; 57216090838; 7403361557","Improvement of high cycle fatigue strength by hot isostatic pressing on ferritic ductile cast iron","1996","Nippon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","62","604","","2681","2686","5","1","10.1299/kikaia.62.2681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030349517&doi=10.1299%2fkikaia.62.2681&partnerID=40&md5=9d77d1186470decde11f00bfe3f4dde0","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0030349517"
"Kondo Y.; Sakae C.; Kubota M.; Kudou T.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Kudou, Takao (7003936038)","35327168500; 6602682165; 7401665066; 7003936038","Large reduction in the (ΔKeff)th of short crack at extremely high stress ratio","2004","Zairyo/Journal of the Society of Materials Science, Japan","53","6","","661","666","5","1","10.2472/jsms.53.661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243088242&doi=10.2472%2fjsms.53.661&partnerID=40&md5=a73d184fefe56a84db3f2a59db010ba5","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-4243088242"
"Kondo Y.; Sakae C.; Kubota M.; Yanagihara K.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Yanagihara, Kazutoshi (8550625500)","35327168500; 6602682165; 7401665066; 8550625500","Non-propagating crack at giga-cycle fretting fatigue limit","2004","Nippon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of Mechanical Engineers, Part A","70","8","","1066","1071","5","7","10.1299/kikaia.70.1066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-8344272058&doi=10.1299%2fkikaia.70.1066&partnerID=40&md5=0bff95957dea85e3d0c8128a22403a84","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-8344272058"
"Ochi Y.; Ishii A.; Sasaki S.; Sakaguchi Y.; Kubota M.","Ochi, Yasuo (7102265064); Ishii, Akira (57216090838); Sasaki, Shigemi (55074324500); Sakaguchi, Yoshiyuki (7202363402); Kubota, Masanobu (7401665066)","7102265064; 57216090838; 55074324500; 7202363402; 7401665066","Effect of Microstructures on Low-Cycle Fatigue Properties and Surface Crack Propagation Behavior in Ductile Cast Irons","1994","Transactions of the Japan Society of Mechanical Engineers Series A","60","571","","619","625","6","0","10.1299/kikaia.60.619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028400177&doi=10.1299%2fkikaia.60.619&partnerID=40&md5=87672d99da51d27edb98d11533089986","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0028400177"
"Kondo Y.; Sakae C.; Kubota M.; Kudou T.","Kondo, Y. (35327168500); Sakae, C. (6602682165); Kubota, M. (7401665066); Kudou, T. (7003936038)","35327168500; 6602682165; 7401665066; 7003936038","The effect of material hardness and mean stress on the fatigue limit of steels containing small defects","2003","Fatigue and Fracture of Engineering Materials and Structures","26","8","","675","682","7","37","10.1046/j.1460-2695.2003.00656.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042154462&doi=10.1046%2fj.1460-2695.2003.00656.x&partnerID=40&md5=9637eaa7802108a752f0ab8266ae96a9","Article","Final","","Scopus","2-s2.0-0042154462"
"Kondo Y.; Sakae C.; Kubota M.; Nagasue T.; Sato S.-I.","Kondo, Yoshiyuki (35327168500); Sakae, Chu (6602682165); Kubota, Masanobu (7401665066); Nagasue, Tomohiro (57213630798); Sato, Shin-Ichi (55725578200)","35327168500; 6602682165; 7401665066; 57213630798; 55725578200","Evaluation of fretting fatigue limit based on local stress at the contact edge","2002","Zairyo/Journal of the Society of Materials Science, Japan","51","9","","1017","1022","5","3","10.2472/jsms.51.1017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036757817&doi=10.2472%2fjsms.51.1017&partnerID=40&md5=ebebfb753aaf4d5a2f741b4dcde3073d","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0036757817"
"Ochi Y.; Ogata T.; Kubota M.; Ishii A.","Ochi, Yasuo (7102265064); Ogata, Tomohisa (11739378900); Kubota, Masanobu (7401665066); Ishii, Akira (57216090838)","7102265064; 11739378900; 7401665066; 57216090838","Initiation and propagation life distributions of fatigue cracks and the life evaluation in high cycle fatigue of ADI","1997","Zairyo/Journal of the Society of Materials Science, Japan","46","10","","1155","1160","5","2","10.2472/jsms.46.1155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031249962&doi=10.2472%2fjsms.46.1155&partnerID=40&md5=c000165c72aef64d279ef4214f3f6a92","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-0031249962"
